cod_ibge;municipio;casos_dengue;precipitacao_total_anual;temp_media_anual;vento_vlc_media_anual;saneamento_basico;abastecimento_agua;esgotamento_sanitario;coleta_residuos;total_coleta_residuos;drenagem_urbana;pop_estimada;pib_municipio;desp_saude_percapta;dens_demografica;desp_percapta_RSU
3500105; ADAMANTINA;1600;1,34;295,84;25,39;Sim;Sim;Sim;Sim;2016,00;Sim;35111;1243768;1495,64;84,27;52,26
3500204; ADOLFO;60;1,26;118,23;9,37;Sim;Sim;Sim;Não;0,00;Não;3554;136758;1537,93;20,06;100,66
3500303; AGUAI;2213;1,02;131,43;8,52;Sim;Sim;Sim;Não;0,00;Sim;36648;1143458;883,86;68,00;37,11
3500402; AGUAS DA PRATA;60;1,02;131,43;8,52;Sim;Sim;Sim;Sim;70,00;Sim;8221;186999;920,09;52,13;33,35
3500501; AGUAS DE LINDOIA;27;1,21;108,68;2,44;Não;;;Não;0,00;;18808;492385;1290,04;298,71;82,29
3500550; AGUAS DE SANTA BARBARA;4;0;70,69;7,97;Sim;Sim;Sim;Sim;0,00;Não;6109;200451;1252,49;17,20;223,90
3500600; AGUAS DE SAO PEDRO;39;0,63;141,23;12,26;Sim;Sim;Sim;Sim;126,00;Sim;3521;136433;2473,29;770,49;448,83
3500709; AGUDOS;69;1,56;217,23;11,28;Sim;Sim;Sim;Sim;1000,00;Sim;37401;2308691;1514,88;38,66;41,39
3500758; ALAMBARI;1;0,05;20,92;2,1;Não;;;Não;0,00;;6129;121302;1054,28;37,32;102,00
3500808; ALFREDO MARCONDES;239;1,53;264,29;15,57;Não;;;Sim;120,00;;4184;111138;1040,84;36,83;104,70
3500907; ALTAIR;9;0,52;91,61;4,28;Sim;Sim;Sim;Sim;94,00;Sim;4186;111753;2568,46;11,31;175,61
3501004; ALTINOPOLIS;56;1,27;152,95;12,68;Sim;Sim;Sim;Sim;110,00;Sim;16203;654362;1003,42;17,97;106,95
3501103; ALTO ALEGRE;41;1,55;186,73;17,99;Sim;Sim;Sim;Sim;4,50;Sim;4088;116734;2385,3;12,44;154,81
3501152; ALUMINIO;20;0,97;170,18;17,8;Sim;Sim;Sim;Sim;492,70;Sim;18767;2287257;1026,99;207,49;188,67
3501202; ALVARES FLORENCE;143;1,32;243,83;11,27;Não;;;Não;0,00;;3647;112203;1322,67;10,88;276,36
3501301; ALVARES MACHADO;500;1,9;289,98;17,03;Não;;;Sim;441,40;;24998;618885;794,84;77,06;136,36
3501400; ALVARO DE CARVALHO;50;1,95;247,79;14,25;Sim;Sim;Sim;Sim;40,00;Sim;5274;53435;922,67;31,32;307,31
3501509; ALVINLANDIA;101;1,71;202,43;12,37;Não;;;Sim;70,50;;3237;57564;1275,14;34,57;42,12
3501608; AMERICANA;2439;0,89;263,74;17,23;Sim;Sim;Sim;Sim;1501,70;Sim;242018;11956361;893,17;1746,77;69,76
3501707; AMERICO BRASILIENSE;225;2;255,79;18,12;Não;;;Não;0,00;;41032;1081155;1037,87;272,87;81,73
3501806; AMERICO DE CAMPOS;257;0,94;120,74;4,88;Sim;Sim;Sim;Sim;120,00;Não;5981;109058;1071,68;23,32;74,15
