cod_ibge;municipio;casos_dengue;precipitacao_total_anual;temp_media_anual;vento_vlc_media_anual;saneamento_basico;abastecimento_agua;esgotamento_sanitario;coleta_residuos;total_coleta_residuos;drenagem_urbana;pop_estimada;pib_municipio;desp_saude_percapta;dens_demografica;desp_percapta_RSU
3500105;ADAMANTINA;1331;1,49;238,65;17,63;Sim;Sim;Sim;Não;0;Sim;34681;0;1566,13;84,18;0
3500204;ADOLFO;164;0,77;165,34;14,04;Sim;Sim;Sim;Não;0;Sim;4345;0;2257,5;20,59;0
3500303;AGUAI;9;0,83;113,66;6,12;Sim;Sim;Sim;Não;0;Sim;32073;0;987,51;67,59;0
3500402;AGUAS DA PRATA;0;0;0;0;Sim;Sim;Sim;Não;0;Sim;7370;0;1209,48;51,66;0
3500501;AGUAS DE LINDOIA;22;0,37;100,46;4,94;Sim;Sim;Sim;Não;0;Não ;17925;0;1322,2;298,12;0
3500550;AGUAS DE SANTA BARBARA;52;0,79;116,3;14,19;Sim;Sim;Sim;Não;0;Sim;7165;0;1678,41;17,71;0
3500600;AGUAS DE SAO PEDRO;43;0,43;122,3;12,55;Sim;Sim;Sim;Não;0;Sim;2779;0;2686,08;769,38;0
3500709;AGUDOS;222;1,18;239,03;16,43;Sim;Sim;Sim;Não;0;Sim;37657;0;1568,86;38,95;0
3500758;ALAMBARI;1;0;0;0;Não;;;Não;0;;6131;0;1299,37;38,41;0
3500808;ALFREDO MARCONDES;231;0,8;209,3;11,78;Não;;;Não;0;;4441;0;1437,51;37,35;0
3500907;ALTAIR;35;1,22;149,61;7,22;;;;Não;0;;3453;0;3288,62;11,03;0
3501004;ALTINOPOLIS;11;0,14;59,7;4,4;Sim;Sim;Sim;Sim;350;Sim;16809;0;1528,06;18,09;0
3501103;ALTO ALEGRE;338;1,06;120,46;12,73;Sim;Sim;Sim;Sim;42;Sim;3843;0;2978,04;12,06;0
3501152;ALUMINIO;4;0,03;50,1;4,24;Sim;Sim;Não ;Sim;1073,3;Sim;17298;0;1510,94;206,87;0
3501202;ALVARES FLORENCE;430;0;0;0;Não;;;Não;0;;3915;0;2219,75;10,80;0
3501301;ALVARES MACHADO;478;1,27;260,94;13,17;Sim;Sim;Sim;Sim;451,4;Sim;27227;0;998,97;78,32;0
3501400;ALVARO DE CARVALHO;123;0,59;126,58;10,77;Sim;Sim;Sim;Sim;25;Sim;4807;0;1641,82;31,28;0
3501509;ALVINLANDIA;19;0,5;84,08;7,01;Sim;Sim;Sim;Sim;2,5;Sim;2886;0;1770,59;34,00;0
3501608;AMERICANA;5639;0,96;209,01;22,59;Sim;Sim;Sim;Sim;1440;Sim;237044;0;1069,56;1770,15;0
3501707;AMERICO BRASILIENSE;3133;2,3;247,63;16,28;Não;;;Não;0;;33029;0;1468,34;268,62;0
3501806;AMERICO DE CAMPOS;453;0;0;0;Sim;Sim;Sim;Sim;200;Não ;5869;0;1798,12;23,21;0
3501905;AMPARO;87;0,37;127,41;4,79;Sim;Sim;Sim;Sim;240;Sim;67993;0;1858,66;152,68;0
3502002;ANALANDIA;93;1,42;178,61;12,65;Sim;;;Não;0;;4587;0;1911,01;14,07;0
3502101;ANDRADINA;2074;1,49;238,65;17,63;Sim;Sim;Sim;Sim;1092;Não ;59751;0;1165,94;61,97;0
3502200;ANGATUBA;8;0,28;91,94;9,38;Não;;;Sim;1100;;24009;0;1329,46;23,37;0
3502309;ANHEMBI;5;0,29;65,2;6,16;Sim;Sim;Sim;Não;0;Sim;5674;0;2770,5;7,70;0
3502408;ANHUMAS;251;0,69;186,03;9,11;Sim;Sim;Sim;Sim;125;Sim;4021;0;1895,12;12,53;0
3502507;APARECIDA;38;0,91;137,55;12,63;Sim;;;Não;0;;32585;0;984,87;269,54;0
3502606;APARECIDA D'OESTE;388;0,37;236,7;23,58;Sim;;;Não;0;;4088;0;2123,83;22,84;0
3502705;APIAI;5;0,41;64,37;5,95;Sim;Sim;Sim;Sim;655;Não ;24589;0;1090,11;25,24;0
3502754;ARACARIGUAMA;4;0,42;60,62;4,03;Não;;;Não;0;;21487;0;1755,87;147,98;0
3502804;ARACATUBA;3131;1,49;238,65;17,63;Sim;Sim;Sim;Sim;979;Sim;199989;0;1025,98;171,35;0
3502903;ARACOIABA DA SERRA;14;0,38;109,14;10,79;Não;;;Sim;65,8;;32404;0;870,76;126,92;0
3503000;ARAMINA;14;0,32;65,44;3,38;Não;;;Não;0;;5418;0;1747,81;26,71;0
3503109;ARANDU;0;0;0;0;Sim;Sim;Não ;Não;0;Sim;6879;0;1891,35;24,06;0
3503158;ARAPEI;0;0;0;0;Não;;;Não;0;;2331;0;3824,97;14,86;0
3503208;ARARAQUARA;21744;2,3;247,63;16,28;Sim;Sim;Sim;Sim;4407,1;Sim;241977;0;1754,47;241,10;0
3503307;ARARAS;2929;1,38;240,12;6,04;Sim;;;Sim;365;;130778;0;1016,17;202,81;0
3503356;ARCO-IRIS;98;1,39;254,94;31,51;Não;;;Não;0;;2043;0;2361,24;7,71;0
3503406;AREALVA;42;0,37;142,27;11,58;Não;;;Não;0;;8128;0;1492,27;16,06;0
3503505;AREIAS;4;0,16;41,15;2,39;Não;;;Não;0;;3578;0;2258,45;11,72;0
3503604;AREIOPOLIS;12;0,15;138,34;12,18;Sim;Sim;Sim;Sim;120;Sim;10133;0;1100,49;117,95;0
3503703;ARIRANHA;59;0,4;178,75;16,35;Sim;Sim;Sim;Não;0;Sim;7608;0;1618,29;57,37;0
3503802;ARTUR NOGUEIRA;283;1,38;240,12;6,04;Não;;;Não;0;;51402;0;1010,41;288,73;0
3503901;ARUJA;155;1,47;200,11;18,72;Sim;Sim;Sim;Sim;950;Não ;86590;0;1499,17;900,41;0
3503950;ASPASIA;223;0,42;237,16;23,23;Não;;;Não;0;;1842;0;2660,24;26,55;0
3504008;ASSIS;575;1,17;183,58;13,45;Sim;Sim;Sim;Sim;3168,5;Não ;101364;0;1033,55;220,07;0
3504107;ATIBAIA;1284;1,55;247,68;22,93;Sim;Sim;Sim;Sim;2925,8;Não ;158399;0;1218,85;331,02;0
3504206;AURIFLAMA;344;0,36;211,22;20,83;;;;Não;0;;13695;0;1525,88;31,52;0
