53 - Despesa em saúde per capita
Despesa em saúde per capita por Município e Ano
Período:2020-2022
"Município";"2020";"2021";"2022";"Total"
"354010 Pongaí";1249,48;1451,21;1990,81;1562,04
"354020 Pontal";808,62;1006,95;1228,48;1013,50
"354025 Pontalinda";1211,61;1118,10;1419,76;1249,73
"354030 Pontes Gestal";2650,94;3339,98;3375,82;3120,58
"354040 Populina";1504,61;1114,90;1612,08;1410,05
"354050 Porangaba";753,97;886,29;1137,62;927,69
"354060 Porto Feliz";1240,47;1273,63;1386,73;1300,70
"354070 Porto Ferreira";978,26;963,42;1092,03;1011,17
"354075 Potim";626,91;737,67;874,19;746,50
"354080 Potirendaba";1095,29;764,79;1012,00;957,03
"354085 Pracinha";1380,76;1574,74;2111,15;1687,61
"354090 Pradópolis";914,26;1177,73;1146,96;1079,30
"354100 Praia Grande";1126,70;1226,94;1342,55;1233,38
"354105 Pratânia";1244,30;1393,73;1694,48;1444,93
"354110 Presidente Alves";1245,17;1248,66;1745,63;1411,25
"354120 Presidente Bernardes";1066,73;1125,96;1385,72;1192,96
"354130 Presidente Epitácio";933,67;1088,64;1061,32;1027,58
"354140 Presidente Prudente";718,89;792,87;950,87;821,10
"354150 Presidente Venceslau";983,09;1041,75;1217,47;1079,97
"354160 Promissão";807,42;886,63;1112,04;934,79
"354165 Quadra";1536,91;1815,74;2711,39;2022,42
"354170 Quatá";1330,86;1133,95;1871,59;1445,44
"354180 Queiroz";2153,90;2001,64;3139,50;2436,41
"354190 Queluz";1062,87;1382,57;1692,88;1375,27
"354200 Quintana";1129,04;1505,76;1942,77;1528,86
"354210 Rafard";964,29;1149,21;1447,79;1187,43
"354220 Rancharia";891,90;906,03;1162,14;986,30
"354230 Redenção da Serra";1113,95;1128,69;1751,56;1332,71
"354240 Regente Feijó";890,45;1056,70;1111,10;1019,67
"354250 Reginópolis";1410,27;1570,74;1682,04;1554,66
"354260 Registro";941,65;952,78;1133,23;1009,45
"354270 Restinga";1155,42;1173,87;1752,69;1359,59
"354280 Ribeira";1504,15;2268,54;3211,23;2323,02
"354290 Ribeirão Bonito";906,32;887,15;514,09;770,82
"354300 Ribeirão Branco";888,79;1066,11;1140,58;1031,73
"354310 Ribeirão Corrente";1416,57;1480,85;1860,83;1586,39
"354320 Ribeirão do Sul";1193,89;1433,34;2209,49;1612,98
"354323 Ribeirão dos Índios";1940,23;2065,44;2955,45;2316,15
"354325 Ribeirão Grande";652,59;865,28;1151,41;889,16
"354330 Ribeirão Pires";955,61;925,02;1234,94;1038,32
"354340 Ribeirão Preto";1000,06;1047,83;1127,19;1058,74
"354360 Rifaina";1995,92;2278,02;2545,40;2275,10
"354370 Rincão";1078,04;1180,36;1428,43;1227,08
"354380 Rinópolis";1117,11;1136,61;1368,41;1206,65
"354390 Rio Claro";1129,07;1317,28;1485,66;1311,12
"354400 Rio das Pedras";909,80;957,95;813,35;893,63
"354410 Rio Grande da Serra";570,80;487,78;529,12;529,27
"354420 Riolândia";1303,91;1527,15;2137,21;1655,26
"354350 Riversul";1105,78;1343,95;1578,88;1340,85
"354425 Rosana";1335,92;1546,36;1780,44;1552,00
"354430 Roseira";1039,25;1123,30;1375,34;1179,77
"354440 Rubiácea";1888,16;1628,28;2390,97;1968,20
"354450 Rubinéia";1437,91;1208,28;2704,27;1790,81
"354460 Sabino";1408,05;1521,40;1819,15;1581,76
"354470 Sagres";1454,76;1506,21;1866,54;1609,13
"354480 Sales";1132,62;1217,75;1676,10;1343,26
"354490 Sales Oliveira";1174,10;1328,51;1737,34;1413,98
"354500 Salesópolis";859,57;825,34;885,71;856,83
"354510 Salmourão";921,23;1165,60;1372,48;1152,32
"354515 Saltinho";1029,91;1252,29;1620,17;1302,38
"354520 Salto";890,42;1021,38;1165,24;1027,11
"354530 Salto de Pirapora";992,97;1055,73;1328,74;1126,14
"354540 Salto Grande";1082,79;1233,24;1442,45;1252,74
"354550 Sandovalina";2370,24;2390,49;2887,06;2548,62
"354560 Santa Adélia";968,22;1084,19;1236,09;1095,76
"354570 Santa Albertina";1552,55;1462,88;1845,98;1620,88
"354580 Santa Bárbara d'Oeste";990,94;1187,68;1198,71;1125,64
"354600 Santa Branca";893,99;885,58;1049,06;942,78
"354610 Santa Clara d'Oeste";1663,27;1554,00;2255,15;1826,25
"354620 Santa Cruz da Conceição";1193,29;1278,03;1790,93;1420,89
"354625 Santa Cruz da Esperança";1940,00;2219,86;3056,29;2405,28
"354630 Santa Cruz das Palmeiras";923,09;838,78;1074,21;945,07
"354640 Santa Cruz do Rio Pardo";1324,32;1505,05;1844,74;1558,35
"354650 Santa Ernestina";960,92;932,55;1097,24;997,16
"354660 Santa Fé do Sul";1257,34;1243,93;1318,33;1273,44
"354670 Santa Gertrudes";1305,42;1199,65;1614,27;1373,59
"354680 Santa Isabel";995,76;1006,26;1124,26;1042,13
"354690 Santa Lúcia";820,27;971,68;1235,60;1006,63
"354700 Santa Maria da Serra";1578,78;1686,80;1707,15;1657,45
"354710 Santa Mercedes";1512,99;1639,33;1668,20;1606,81
"354740 Santa Rita d'Oeste";1488,44;1372,11;2441,22;1768,02
"354750 Santa Rita do Passa Quatro";980,08;1068,34;1342,99;1129,52
"354760 Santa Rosa de Viterbo";863,45;957,16;1167,24;995,40
"354765 Santa Salete";2086,59;2462,27;2974,01;2509,97
"354720 Santana da Ponte Pensa";2097,52;1721,89;4755,96;2855,89
"354730 Santana de Parnaíba";1797,33;2045,56;2335,90;2063,91
"354770 Santo Anastácio";951,85;939,19;1234,43;1040,52
"354780 Santo André";1003,23;1131,47;1129,35;1088,22
"354790 Santo Antônio da Alegria";724,90;1568,34;1703,00;1334,06
"354800 Santo Antônio de Posse";1101,17;1231,72;1482,72;1272,83
"354805 Santo Antônio do Aracanguá";1623,59;1749,55;2243,70;1872,67
"354810 Santo Antônio do Jardim";1169,18;1071,82;1473,32;1238,09
"354820 Santo Antônio do Pinhal";927,96;1137,62;1311,14;1126,29
"354830 Santo Expedito";989,53;1324,17;1484,88;1267,12
"354840 Santópolis do Aguapeí";1447,69;1240,02;1987,04;1556,08
"354850 Santos";1862,70;2092,92;2083,94;2012,87
"354860 São Bento do Sapucaí";793,79;750,00;1265,33;937,05
"354870 São Bernardo do Campo";1754,62;1821,95;1828,10;1801,57
"354880 São Caetano do Sul";2583,96;2958,79;3096,58;2880,55
"354890 São Carlos";1010,46;1079,56;1129,14;1073,38
"354900 São Francisco";1488,69;1507,17;1651,62;1548,51
"354910 São João da Boa Vista";1123,45;1227,64;1584,59;1312,84
"354920 São João das Duas Pontes";1248,93;1361,32;1882,21;1496,44
"354925 São João de Iracema";2142,28;2063,97;2727,34;2311,84
"354930 São João do Pau d'Alho";1660,23;1837,68;2385,16;1960,75
"354940 São Joaquim da Barra";863,08;852,03;1087,29;934,14
"354950 São José da Bela Vista";946,72;809,16;1268,33;1006,77
"354960 São José do Barreiro";1303,50;946,97;2024,63;1423,22
"354970 São José do Rio Pardo";1051,62;1062,48;1152,51;1088,76
"354980 São José do Rio Preto";974,95;1122,81;1191,86;1097,21
"354990 São José dos Campos";1197,21;1254,51;1385,56;1279,41
"354995 São Lourenço da Serra";946,98;819,57;1222,81;997,21
"355000 São Luís do Paraitinga";997,91;1277,33;1451,87;1241,73
"355010 São Manuel";984,18;1097,88;1171,62;1084,24
"355020 São Miguel Arcanjo";918,77;945,49;1099,15;987,65
"355030 São Paulo";1214,14;1365,04;1580,31;1386,19
"355040 São Pedro";1136,59;1281,92;1585,22;1336,27
"355050 São Pedro do Turvo";1347,02;1529,21;2116,69;1663,69
"355060 São Roque";903,72;937,32;1276,01;1038,73
"355070 São Sebastião";2100,89;2615,03;2776,03;2498,73
"355080 São Sebastião da Grama";1120,36;1243,12;1516,37;1291,11
"355090 São Simão";1374,98;1435,73;2028,93;1611,10
"355100 São Vicente";848,52;823,89;967,73;879,85
"355110 Sarapuí";959,36;907,38;1186,51;1018,38
"355120 Sarutaiá";1433,91;1426,74;1645,48;1501,95
"355130 Sebastianópolis do Sul";2035,89;2813,48;3153,93;2667,20
"355140 Serra Azul";991,15;653,47;450,72;696,85
"355160 Serra Negra";916,63;844,39;1131,83;964,71
"355150 Serrana";801,04;848,94;974,64;875,26
"355170 Sertãozinho";1160,04;1325,05;1157,63;1214,24
"355180 Sete Barras";1008,38;1192,82;1277,45;1159,18
"355190 Severínia";950,97;960,53;1210,72;1039,91
"355200 Silveiras";1431,65;1827,95;2015,47;1758,99
"355210 Socorro";1028,56;1133,77;1277,26;1146,89
"355220 Sorocaba";982,86;1013,08;1187,70;1062,10
"355230 Sud Mennucci";1741,78;2379,52;2672,01;2263,43
"355240 Sumaré";649,85;751,66;830,60;744,54
"355255 Suzanápolis";1794,56;1972,29;2298,97;2021,47
"355250 Suzano";780,36;881,81;974,28;879,45
"355260 Tabapuã";955,11;1116,72;1209,23;1093,27
"355270 Tabatinga";991,77;1151,96;1307,40;1150,16
"355280 Taboão da Serra";862,66;868,48;941,38;890,96
"355290 Taciba";1609,97;1899,84;2136,46;1882,95
"355300 Taguaí";1123,81;1370,26;1520,67;1339,44
"355310 Taiaçu";1096,30;1459,48;1617,06;1389,80
"355320 Taiúva";1078,70;1174,29;1411,42;1222,63
"355330 Tambaú";933,41;1111,86;1293,90;1112,22
"355340 Tanabi";788,38;939,86;1163,86;964,19
"355350 Tapiraí";1150,27;1249,04;1435,37;1278,05
"355360 Tapiratiba";888,35;1046,97;1564,23;1164,23
"355365 Taquaral";2171,22;2817,76;3491,38;2822,30
"355370 Taquaritinga";1175,66;1206,14;1254,90;1212,08
"355380 Taquarituba";1052,80;1359,33;1351,16;1254,77
"355385 Taquarivaí";1013,15;1148,25;1448,72;1206,05
"355390 Tarabai";699,26;1051,62;1512,37;1086,19
"355395 Tarumã";1098,90;1198,74;1553,31;1284,73
"355400 Tatuí";987,96;1219,30;1216,70;1141,95
"355410 Taubaté";1111,27;1139,56;1415,63;1222,68
"355420 Tejupá";993,53;1109,44;1613,14;1234,85
"355430 Teodoro Sampaio";1081,27;1109,30;1317,47;1169,27
"355440 Terra Roxa";1149,62;1246,62;1647,77;1346,14
"355450 Tietê";877,67;1013,28;1028,74;973,22
"355460 Timburi";1768,73;2337,76;2972,91;2354,64
"355465 Torre de Pedra";1717,47;1949,36;2400,97;2019,66
"355470 Torrinha";1049,74;1191,30;1569,29;1270,05
"355475 Trabiju";2134,96;2502,66;3546,95;2731,12
"355480 Tremembé";570,90;646,46;781,63;667,23
"355490 Três Fronteiras";945,92;692,98;970,96;869,96
"355495 Tuiuti";713,93;787,38;1029,46;844,24
"355500 Tupã";964,13;1026,74;1157,79;1049,34
"355510 Tupi Paulista";1167,21;1194,10;1346,06;1236,13
"355520 Turiúba";2434,25;2691,05;2766,74;2629,87
"355530 Turmalina";2472,79;3621,89;4108,09;3390,59
"355535 Ubarana";1374,12;1356,07;1668,42;1465,84
"355540 Ubatuba";1266,44;1267,94;1481,74;1339,56
"355550 Ubirajara";1298,07;1552,06;1526,80;1459,78
"355560 Uchoa";1017,77;1137,96;1271,83;1142,83
"355570 União Paulista";2717,03;3177,31;3306,70;3065,96
"355580 Urânia";1184,29;1218,34;1448,00;1283,26
"355590 Uru";3443,58;3220,63;3581,32;3415,09
"355600 Urupês";1108,48;1246,07;1569,01;1308,56
"355610 Valentim Gentil";859,30;992,72;1267,66;1041,92
"355620 Valinhos";1106,67;1170,58;1390,36;1223,53
"355630 Valparaíso";1380,41;1374,27;1807,53;1521,03
"355635 Vargem";639,83;673,69;829,72;715,17
"355640 Vargem Grande do Sul";902,83;1051,20;1333,81;1095,80
"355645 Vargem Grande Paulista";1135,69;1259,30;1468,81;1288,94
"355650 Várzea Paulista";447,00;483,65;655,65;528,95
"355660 Vera Cruz";754,61;817,25;1210,16;925,89
"355670 Vinhedo";1717,17;1887,50;2145,26;1918,31
"355680 Viradouro";990,83;1151,69;1441,35;1194,13
"355690 Vista Alegre do Alto";1074,09;1592,13;1246,80;1305,03
"355695 Vitória Brasil";1770,01;1912,34;2417,68;2032,50
"355700 Votorantim";972,08;1088,11;1195,31;1085,89
"355710 Votuporanga";900,79;1030,93;1072,77;1001,97
"355715 Zacarias";2255,79;2518,57;3020,84;2599,71
"350000 Município ignorado - SP";...;...;...;...
"Total";1120,79;1232,72;1397,74;1250,65
 Fonte:
 Despesa: Indicadores Municipais/SIOPS/MS
 População: Estimativas - Fundação SEADE.
 Nota:
 
 1.Despesa em saúde per capital: Despesa total em saúde (financiada pelas três esferas de governo) sob a responsabilidade do município, por habitante.
 2. Populaçao 2011 a 2023 recalculada considerando as estatísticas vitais e o Censo de 2022.
 
 Atualizado em 19/06/2024. 
